datum,latogatoszam,atlaghomerseklet,csapadek,unnepnap,iskolai_szunet,marketing_kiadas,het_napja,honap,szezon,hetvege
2022-02-03,6979,0.7,0.0,0,0,308.0,4,2,1,0
2022-02-04,7336,0.1,0.9,0,0,292.0,5,2,1,0
2022-02-05,9853,5.4,0.0,0,0,462.0,6,2,1,1
2022-02-06,7768,-4.4,0.0,0,0,533.0,7,2,1,1
2022-02-07,4772,-7.3,0.0,0,0,265.0,1,2,1,0
2022-02-08,5768,1.8,0.0,0,0,260.0,2,2,1,0
2022-02-09,6760,18.8,0.0,0,0,280.0,3,2,1,0
2022-02-10,3541,-1.7,3.6,0,0,267.0,4,2,1,0
2022-02-11,7963,5.0,0.0,0,0,353.0,5,2,1,0
2022-02-12,9615,0.6,0.3,0,0,539.0,6,2,1,1
2022-02-13,11980,2.2,1.2,0,0,503.0,7,2,1,1
2022-02-14,6116,2.8,0.0,0,0,292.0,1,2,1,0
2022-02-15,5064,-3.6,0.0,0,0,301.0,2,2,1,0
2022-02-16,3032,-4.3,5.3,0,0,356.0,3,2,1,0
2022-02-17,7442,3.4,0.0,0,0,302.0,4,2,1,0
2022-02-18,3677,1.8,7.2,0,0,299.0,5,2,1,0
2022-02-19,8771,-1.6,2.3,0,0,486.0,6,2,1,1
2022-02-20,12288,9.0,0.0,0,0,520.0,7,2,1,1
2022-02-21,6440,0.5,0.0,0,0,245.0,1,2,1,0
2022-02-22,4853,-0.4,0.0,0,0,272.0,2,2,1,0
2022-02-23,5182,-0.3,0.0,0,0,359.0,3,2,1,0
2022-02-24,5052,12.7,3.4,0,0,245.0,4,2,1,0
2022-02-25,5264,2.6,0.0,0,0,289.0,5,2,1,0
2022-02-26,9210,1.3,0.0,0,0,582.0,6,2,1,1
2022-02-27,9278,6.7,0.0,0,0,535.0,7,2,1,1
2022-02-28,4787,-2.1,2.9,0,0,313.0,1,2,1,0
2022-03-01,5933,-0.1,2.2,0,0,337.0,2,3,2,0
2022-03-02,7163,13.6,0.0,0,0,299.0,3,3,2,0
2022-03-03,9074,7.9,0.0,0,0,354.0,4,3,2,0
2022-03-04,7833,11.8,2.0,0,0,248.0,5,3,2,0
2022-03-05,18544,15.7,3.1,0,0,584.0,6,3,2,1
2022-03-06,14521,10.9,0.0,0,0,583.0,7,3,2,1
2022-03-07,9712,9.8,0.0,0,0,335.0,1,3,2,0
2022-03-08,10182,20.9,1.7,0,0,300.0,2,3,2,0
2022-03-09,8802,10.9,0.0,0,0,317.0,3,3,2,0
2022-03-10,10944,11.4,0.0,0,0,337.0,4,3,2,0
2022-03-11,8876,19.9,0.0,0,0,322.0,5,3,2,0
2022-03-12,13505,6.6,1.4,0,0,511.0,6,3,2,1
2022-03-13,15037,5.9,0.0,0,0,549.0,7,3,2,1
2022-03-14,8609,11.6,0.0,0,0,254.0,1,3,2,0
2022-03-15,16871,19.0,0.9,1,0,585.0,2,3,2,0
2022-03-16,7742,8.1,0.0,0,0,265.0,3,3,2,0
2022-03-17,8941,8.3,0.0,0,0,260.0,4,3,2,0
2022-03-18,7648,5.6,0.0,0,0,346.0,5,3,2,0
2022-03-19,13207,9.8,0.0,0,0,489.0,6,3,2,1
2022-03-20,14966,23.5,0.0,0,0,500.0,7,3,2,1
2022-03-21,9413,13.4,0.0,0,0,276.0,1,3,2,0
2022-03-22,10863,15.2,0.0,0,0,280.0,2,3,2,0
2022-03-23,11572,16.0,0.0,0,0,328.0,3,3,2,0
2022-03-24,7881,9.0,0.0,0,0,248.0,4,3,2,0
2022-03-25,7898,5.7,0.0,0,0,333.0,5,3,2,0
2022-03-26,14388,12.6,0.0,0,0,493.0,6,3,2,1
2022-03-27,18220,20.3,0.1,0,0,593.0,7,3,2,1
2022-03-28,7205,14.5,0.0,0,0,311.0,1,3,2,0
2022-03-29,8672,12.0,1.8,0,0,360.0,2,3,2,0
2022-03-30,10105,22.1,1.1,0,0,351.0,3,3,2,0
2022-03-31,9104,6.7,0.0,0,0,354.0,4,3,2,0
2022-04-01,11942,6.4,0.0,0,1,323.0,5,4,2,0
2022-04-02,16815,14.6,0.0,0,1,461.0,6,4,2,1
2022-04-03,11361,9.2,6.3,0,1,492.0,7,4,2,1
2022-04-04,10510,7.5,0.0,0,1,298.0,1,4,2,0
2022-04-05,11561,14.4,0.0,0,1,345.0,2,4,2,0
2022-04-06,10950,14.2,0.0,0,1,322.0,3,4,2,0
2022-04-07,8880,12.9,0.0,0,1,275.0,4,4,2,0
2022-04-08,11950,1.9,0.0,0,1,333.0,5,4,2,0
2022-04-09,24457,18.2,0.0,0,1,575.0,6,4,2,1
2022-04-10,14852,11.4,0.0,0,1,480.0,7,4,2,1
2022-04-11,10493,14.5,0.0,0,1,255.0,1,4,2,0
2022-04-12,11199,16.2,0.0,0,1,243.0,2,4,2,0
2022-04-13,11708,15.0,0.0,0,1,322.0,3,4,2,0
2022-04-14,10969,8.1,0.0,0,1,328.0,4,4,2,0
2022-04-15,11632,7.5,0.0,0,1,273.0,5,4,2,0
2022-04-16,18517,6.2,0.0,0,1,544.0,6,4,2,1
2022-04-17,21809,8.2,1.4,0,1,550.0,7,4,2,1
2022-04-18,12148,8.2,0.5,0,1,286.0,1,4,2,0
2022-04-19,11685,7.5,0.0,0,1,316.0,2,4,2,0
2022-04-20,13772,15.2,0.0,0,1,348.0,3,4,2,0
2022-04-21,9197,10.9,0.0,0,1,265.0,4,4,2,0
2022-04-22,8964,8.3,0.0,0,1,327.0,5,4,2,0
2022-04-23,18358,12.7,0.0,0,1,473.0,6,4,2,1
2022-04-24,15874,12.6,0.0,0,1,554.0,7,4,2,1
2022-04-25,10074,17.0,0.0,0,1,304.0,1,4,2,0
2022-04-26,11796,3.3,0.0,0,1,266.0,2,4,2,0
2022-04-27,11233,22.3,2.1,0,1,320.0,3,4,2,0
2022-04-28,12215,13.8,0.0,0,1,340.0,4,4,2,0
2022-04-29,9040,10.6,0.0,0,1,328.0,5,4,2,0
2022-04-30,19656,17.3,0.0,0,1,545.0,6,4,2,1
2022-05-01,20849,7.3,0.0,1,0,557.0,7,5,2,1
2022-05-02,7575,11.2,0.0,0,0,307.0,1,5,2,0
2022-05-03,10119,16.1,0.0,0,0,350.0,2,5,2,0
2022-05-04,9708,15.1,0.0,0,0,264.0,3,5,2,0
2022-05-05,8506,6.5,0.0,0,0,283.0,4,5,2,0
2022-05-06,3233,-1.8,7.9,0,0,259.0,5,5,2,0
2022-05-07,11581,13.5,0.2,0,0,460.0,6,5,2,1
2022-05-08,16724,3.9,2.5,0,0,479.0,7,5,2,1
2022-05-09,10596,6.7,0.0,0,0,321.0,1,5,2,0
2022-05-10,10253,9.1,0.0,0,0,283.0,2,5,2,0
2022-05-11,11470,19.5,0.0,0,0,350.0,3,5,2,0
2022-05-12,9286,10.2,0.0,0,0,300.0,4,5,2,0
2022-05-13,9207,7.0,0.0,0,0,242.0,5,5,2,0
2022-05-14,19305,20.6,0.0,0,0,508.0,6,5,2,1
2022-05-15,13300,11.9,1.2,0,0,548.0,7,5,2,1
2022-05-16,6603,9.6,5.5,0,0,346.0,1,5,2,0
2022-05-17,9084,4.2,0.0,0,0,262.0,2,5,2,0
2022-05-18,7198,12.4,0.0,0,0,292.0,3,5,2,0
2022-05-19,8250,11.3,0.0,0,0,249.0,4,5,2,0
2022-05-20,8079,8.9,0.0,0,0,301.0,5,5,2,0
2022-05-21,15265,10.7,0.0,0,0,571.0,6,5,2,1
2022-05-22,14489,9.7,0.0,0,0,507.0,7,5,2,1
2022-05-23,8164,16.6,0.0,0,0,327.0,1,5,2,0
2022-05-24,10530,16.0,0.0,0,0,344.0,2,5,2,0
2022-05-25,8598,11.8,0.0,0,0,271.0,3,5,2,0
2022-05-26,8427,10.8,0.0,0,0,279.0,4,5,2,0
2022-05-27,8657,13.9,0.0,0,0,351.0,5,5,2,0
2022-05-28,15952,13.5,3.2,0,0,538.0,6,5,2,1
2022-05-29,14358,12.8,0.0,0,0,518.0,7,5,2,1
2022-05-30,10676,10.6,1.1,0,0,343.0,1,5,2,0
2022-05-31,8919,14.0,1.9,0,0,251.0,2,5,2,0
2022-06-01,8338,31.0,0.0,0,0,276.0,3,6,3,0
2022-06-02,11328,24.0,0.0,0,0,263.0,4,6,3,0
2022-06-03,12132,17.1,3.4,0,0,246.0,5,6,3,0
2022-06-04,19055,24.4,0.0,0,0,497.0,6,6,3,1
2022-06-05,14981,13.8,0.0,0,0,476.0,7,6,3,1
2022-06-06,9063,37.8,0.0,0,0,277.0,1,6,3,0
2022-06-07,9117,29.6,0.0,0,0,269.0,2,6,3,0
2022-06-08,11628,21.8,0.0,0,0,303.0,3,6,3,0
2022-06-09,10074,20.8,0.0,0,0,333.0,4,6,3,0
2022-06-10,11837,17.0,0.0,0,0,329.0,5,6,3,0
2022-06-11,14424,32.9,1.5,0,0,563.0,6,6,3,1
2022-06-12,16070,15.8,0.0,0,0,469.0,7,6,3,1
2022-06-13,8750,25.3,0.0,0,0,267.0,1,6,3,0
2022-06-14,11176,27.0,0.3,0,0,322.0,2,6,3,0
2022-06-15,10522,27.6,0.0,0,0,340.0,3,6,3,0
2022-06-16,10113,31.9,1.9,0,0,342.0,4,6,3,0
2022-06-17,11982,20.3,0.0,0,0,241.0,5,6,3,0
2022-06-18,16299,12.1,0.0,0,0,521.0,6,6,3,1
2022-06-19,20644,20.1,0.0,0,0,597.0,7,6,3,1
2022-06-20,9190,13.6,0.0,0,0,271.0,1,6,3,0
2022-06-21,10371,19.8,0.0,0,0,329.0,2,6,3,0
2022-06-22,12885,21.4,0.0,0,0,306.0,3,6,3,0
2022-06-23,11449,28.0,0.0,0,0,279.0,4,6,3,0
2022-06-24,10950,29.7,0.0,0,0,318.0,5,6,3,0
2022-06-25,22209,22.9,0.0,0,0,535.0,6,6,3,1
2022-06-26,18218,25.1,0.0,0,0,554.0,7,6,3,1
2022-06-27,13135,21.5,0.0,0,0,344.0,1,6,3,0
2022-06-28,10767,19.6,0.0,0,0,258.0,2,6,3,0
2022-06-29,11593,24.8,0.0,0,0,350.0,3,6,3,0
2022-06-30,8636,28.7,0.0,0,0,319.0,4,6,3,0
2022-07-01,11642,26.5,0.0,0,1,327.0,5,7,3,0
2022-07-02,18152,18.7,0.0,0,1,467.0,6,7,3,1
2022-07-03,28856,20.1,0.0,0,1,577.0,7,7,3,1
2022-07-04,16367,21.2,3.5,0,1,350.0,1,7,3,0
2022-07-05,12467,25.6,1.4,0,1,253.0,2,7,3,0
2022-07-06,9971,29.1,0.0,0,1,254.0,3,7,3,0
2022-07-07,11871,20.8,0.0,0,1,290.0,4,7,3,0
2022-07-08,11110,29.8,0.9,0,1,299.0,5,7,3,0
2022-07-09,18006,29.0,0.0,0,1,543.0,6,7,3,1
2022-07-10,20596,24.6,0.0,0,1,477.0,7,7,3,1
2022-07-11,14758,24.7,0.0,0,1,247.0,1,7,3,0
2022-07-12,12141,22.6,0.0,0,1,255.0,2,7,3,0
2022-07-13,11372,27.5,0.0,0,1,281.0,3,7,3,0
2022-07-14,13677,14.3,0.2,0,1,284.0,4,7,3,0
2022-07-15,12740,20.8,0.0,0,1,321.0,5,7,3,0
2022-07-16,22580,28.3,0.0,0,1,464.0,6,7,3,1
2022-07-17,24394,25.9,1.0,0,1,557.0,7,7,3,1
2022-07-18,9792,32.9,0.0,0,1,311.0,1,7,3,0
2022-07-19,8767,25.8,8.6,0,1,345.0,2,7,3,0
2022-07-20,16338,18.2,0.0,0,1,313.0,3,7,3,0
2022-07-21,11866,23.1,0.0,0,1,288.0,4,7,3,0
2022-07-22,13074,27.3,0.4,0,1,268.0,5,7,3,0
2022-07-23,26597,23.7,0.0,0,1,564.0,6,7,3,1
2022-07-24,23661,23.5,0.0,0,1,482.0,7,7,3,1
2022-07-25,10223,31.4,0.1,0,1,243.0,1,7,3,0
2022-07-26,11290,21.8,0.0,0,1,255.0,2,7,3,0
2022-07-27,13802,27.8,0.0,0,1,344.0,3,7,3,0
2022-07-28,8565,30.5,0.0,0,1,343.0,4,7,3,0
2022-07-29,14983,24.6,0.0,0,1,348.0,5,7,3,0
2022-07-30,26387,17.5,0.0,0,1,493.0,6,7,3,1
2022-07-31,28223,20.4,2.7,0,1,545.0,7,7,3,1
2022-08-01,15302,21.5,0.0,0,1,266.0,1,8,3,0
2022-08-02,10399,28.4,0.0,0,1,260.0,2,8,3,0
2022-08-03,13160,20.9,0.0,0,1,340.0,3,8,3,0
2022-08-04,12341,23.6,1.9,0,1,310.0,4,8,3,0
2022-08-05,11931,28.2,0.3,0,1,325.0,5,8,3,0
2022-08-06,25756,15.9,0.5,0,1,564.0,6,8,3,1
2022-08-07,17008,29.6,0.0,0,1,454.0,7,8,3,1
2022-08-08,13743,29.7,0.0,0,1,330.0,1,8,3,0
2022-08-09,16120,21.6,0.0,0,1,290.0,2,8,3,0
2022-08-10,10541,30.0,0.0,0,1,325.0,3,8,3,0
2022-08-11,10675,17.4,0.0,0,1,271.0,4,8,3,0
2022-08-12,9923,27.7,0.2,0,1,258.0,5,8,3,0
2022-08-13,25425,23.4,0.0,0,1,511.0,6,8,3,1
2022-08-14,19009,29.3,0.0,0,1,575.0,7,8,3,1
2022-08-15,12957,29.8,0.0,0,1,321.0,1,8,3,0
2022-08-16,11020,18.0,3.1,0,1,292.0,2,8,3,0
2022-08-17,12010,28.6,0.0,0,1,258.0,3,8,3,0
2022-08-18,12912,25.8,0.0,0,1,247.0,4,8,3,0
2022-08-19,12759,27.0,0.0,0,1,274.0,5,8,3,0
2022-08-20,36008,14.6,0.0,1,1,497.0,6,8,3,1
2022-08-21,26539,22.3,0.0,0,1,558.0,7,8,3,1
2022-08-22,10456,29.3,0.2,0,1,342.0,1,8,3,0
2022-08-23,8917,31.6,0.0,0,1,267.0,2,8,3,0
2022-08-24,14071,25.4,0.9,0,1,352.0,3,8,3,0
2022-08-25,16166,24.5,0.0,0,1,329.0,4,8,3,0
2022-08-26,16551,25.0,0.0,0,1,346.0,5,8,3,0
2022-08-27,20984,28.0,0.0,0,1,545.0,6,8,3,1
2022-08-28,21502,24.9,0.0,0,1,522.0,7,8,3,1
2022-08-29,13781,20.5,0.0,0,1,320.0,1,8,3,0
2022-08-30,15336,23.9,1.4,0,1,266.0,2,8,3,0
2022-08-31,9910,25.3,0.0,0,1,274.0,3,8,3,0
2022-09-01,9273,7.8,4.3,0,0,333.0,4,9,4,0
2022-09-02,9265,15.1,0.0,0,0,269.0,5,9,4,0
2022-09-03,15890,17.8,0.0,0,0,531.0,6,9,4,1
2022-09-04,13741,18.2,0.0,0,0,526.0,7,9,4,1
2022-09-05,9862,16.8,0.0,0,0,280.0,1,9,4,0
2022-09-06,7588,21.5,0.0,0,0,265.0,2,9,4,0
2022-09-07,10423,23.0,1.5,0,0,347.0,3,9,4,0
2022-09-08,9793,17.1,0.0,0,0,337.0,4,9,4,0
2022-09-09,8679,13.1,4.1,0,0,328.0,5,9,4,0
2022-09-10,15951,16.5,0.0,0,0,471.0,6,9,4,1
2022-09-11,15757,17.6,0.0,0,0,525.0,7,9,4,1
2022-09-12,8429,22.3,0.0,0,0,307.0,1,9,4,0
2022-09-13,8068,24.9,1.1,0,0,310.0,2,9,4,0
2022-09-14,7681,19.2,0.0,0,0,283.0,3,9,4,0
2022-09-15,9809,12.1,2.8,0,0,339.0,4,9,4,0
2022-09-16,7281,14.5,0.0,0,0,338.0,5,9,4,0
2022-09-17,17084,22.2,0.0,0,0,557.0,6,9,4,1
2022-09-18,16921,18.5,0.0,0,0,501.0,7,9,4,1
2022-09-19,9067,17.3,0.0,0,0,262.0,1,9,4,0
2022-09-20,7677,12.2,0.5,0,0,300.0,2,9,4,0
2022-09-21,6979,10.2,0.0,0,0,357.0,3,9,4,0
2022-09-22,9524,20.3,0.0,0,0,335.0,4,9,4,0
2022-09-23,8896,16.8,0.0,0,0,284.0,5,9,4,0
2022-09-24,15877,17.7,0.0,0,0,521.0,6,9,4,1
2022-09-25,12309,9.1,0.0,0,0,512.0,7,9,4,1
2022-09-26,8529,9.1,0.0,0,0,309.0,1,9,4,0
2022-09-27,6792,11.6,0.0,0,0,300.0,2,9,4,0
2022-09-28,7862,7.6,0.0,0,0,289.0,3,9,4,0
2022-09-29,10038,16.5,4.1,0,0,329.0,4,9,4,0
2022-09-30,9178,12.2,0.0,0,0,321.0,5,9,4,0
2022-10-01,16005,9.9,2.0,0,0,586.0,6,10,4,1
2022-10-02,18525,23.5,0.0,0,0,591.0,7,10,4,1
2022-10-03,7471,11.7,0.0,0,0,321.0,1,10,4,0
2022-10-04,8721,16.4,0.0,0,0,295.0,2,10,4,0
2022-10-05,7697,12.8,2.2,0,0,303.0,3,10,4,0
2022-10-06,7083,8.6,0.0,0,0,323.0,4,10,4,0
2022-10-07,10433,16.0,0.0,0,0,326.0,5,10,4,0
2022-10-08,16606,14.8,0.8,0,0,548.0,6,10,4,1
2022-10-09,12167,13.4,0.0,0,0,511.0,7,10,4,1
2022-10-10,8422,11.5,4.7,0,0,350.0,1,10,4,0
2022-10-11,9281,16.1,0.6,0,0,259.0,2,10,4,0
2022-10-12,9289,10.1,0.0,0,0,346.0,3,10,4,0
2022-10-13,9052,16.5,0.0,0,0,334.0,4,10,4,0
2022-10-14,8163,13.6,0.0,0,0,325.0,5,10,4,0
2022-10-15,16196,15.2,0.0,0,0,512.0,6,10,4,1
2022-10-16,16649,18.8,0.0,0,0,494.0,7,10,4,1
2022-10-17,8178,10.6,0.4,0,0,309.0,1,10,4,0
2022-10-18,8980,15.4,0.0,0,0,299.0,2,10,4,0
2022-10-19,6715,14.8,0.0,0,0,342.0,3,10,4,0
2022-10-20,10021,16.0,0.0,0,0,272.0,4,10,4,0
2022-10-21,8771,13.5,0.0,0,0,295.0,5,10,4,0
2022-10-22,11750,22.9,0.0,0,0,463.0,6,10,4,1
2022-10-23,25855,18.6,0.0,1,0,471.0,7,10,4,1
2022-10-24,8224,13.5,0.7,0,0,329.0,1,10,4,0
2022-10-25,7182,24.3,0.0,0,0,291.0,2,10,4,0
2022-10-26,6868,9.4,0.0,0,0,271.0,3,10,4,0
2022-10-27,7891,17.1,0.0,0,0,292.0,4,10,4,0
2022-10-28,6539,8.3,0.0,0,0,305.0,5,10,4,0
2022-10-29,14325,20.9,0.0,0,0,586.0,6,10,4,1
2022-10-30,14536,22.7,1.3,0,0,507.0,7,10,4,1
2022-10-31,9014,17.2,0.0,0,0,294.0,1,10,4,0
2022-11-01,14875,4.7,0.0,1,0,528.0,2,11,4,0
2022-11-02,8455,14.3,0.9,0,0,292.0,3,11,4,0
2022-11-03,9204,15.7,0.0,0,0,256.0,4,11,4,0
2022-11-04,8384,19.4,0.0,0,0,327.0,5,11,4,0
2022-11-05,12254,15.6,1.5,0,0,484.0,6,11,4,1
2022-11-06,14290,17.3,0.3,0,0,508.0,7,11,4,1
2022-11-07,7920,19.4,0.0,0,0,244.0,1,11,4,0
2022-11-08,9610,22.0,0.5,0,0,352.0,2,11,4,0
2022-11-09,6650,3.4,0.0,0,0,322.0,3,11,4,0
2022-11-10,6890,10.7,0.0,0,0,342.0,4,11,4,0
2022-11-11,8346,14.6,0.0,0,0,272.0,5,11,4,0
2022-11-12,14805,18.2,0.0,0,0,454.0,6,11,4,1
2022-11-13,13442,18.7,0.0,0,0,569.0,7,11,4,1
2022-11-14,7470,7.1,0.0,0,0,261.0,1,11,4,0
2022-11-15,9257,18.7,0.0,0,0,300.0,2,11,4,0
2022-11-16,10285,22.5,0.0,0,0,275.0,3,11,4,0
2022-11-17,7793,18.0,4.5,0,0,308.0,4,11,4,0
2022-11-18,6677,6.5,0.0,0,0,321.0,5,11,4,0
2022-11-19,12016,19.0,0.0,0,0,493.0,6,11,4,1
2022-11-20,10885,13.3,0.0,0,0,471.0,7,11,4,1
2022-11-21,7280,16.9,4.0,0,0,288.0,1,11,4,0
2022-11-22,8989,11.2,0.0,0,0,357.0,2,11,4,0
2022-11-23,7613,18.5,4.6,0,0,306.0,3,11,4,0
2022-11-24,7744,14.9,0.0,0,0,269.0,4,11,4,0
2022-11-25,8434,17.8,0.0,0,0,282.0,5,11,4,0
2022-11-26,15792,13.0,1.5,0,0,540.0,6,11,4,1
2022-11-27,12394,9.1,0.0,0,0,455.0,7,11,4,1
2022-11-28,6808,6.7,2.6,0,0,296.0,1,11,4,0
2022-11-29,8665,13.2,0.0,0,0,269.0,2,11,4,0
2022-11-30,6715,18.0,0.0,0,0,244.0,3,11,4,0
2022-12-01,9104,4.6,0.0,0,1,349.0,4,12,1,0
2022-12-02,8657,12.6,0.0,0,1,272.0,5,12,1,0
2022-12-03,11085,1.2,0.7,0,1,569.0,6,12,1,1
2022-12-04,11882,5.1,0.0,0,1,578.0,7,12,1,1
2022-12-05,4560,-2.0,2.9,0,1,307.0,1,12,1,0
2022-12-06,7711,1.1,0.7,0,1,242.0,2,12,1,0
2022-12-07,4990,-3.2,0.0,0,1,253.0,3,12,1,0
2022-12-08,4779,-1.6,0.0,0,1,288.0,4,12,1,0
2022-12-09,5923,5.0,0.0,0,1,249.0,5,12,1,0
2022-12-10,13680,8.0,0.0,0,1,507.0,6,12,1,1
2022-12-11,10522,1.8,0.0,0,1,460.0,7,12,1,1
2022-12-12,8623,3.6,0.0,0,1,252.0,1,12,1,0
2022-12-13,5441,-1.5,3.3,0,1,334.0,2,12,1,0
2022-12-14,6173,-4.7,0.0,0,1,311.0,3,12,1,0
2022-12-15,8500,6.2,0.0,0,1,329.0,4,12,1,0
2022-12-16,7407,4.1,0.8,0,1,330.0,5,12,1,0
2022-12-17,13371,3.9,0.0,0,1,528.0,6,12,1,1
2022-12-18,10934,5.1,0.0,0,1,489.0,7,12,1,1
2022-12-19,8901,2.4,0.0,0,1,336.0,1,12,1,0
2022-12-20,5893,-1.0,0.0,0,1,328.0,2,12,1,0
2022-12-21,7085,1.6,0.0,0,1,287.0,3,12,1,0
2022-12-22,8715,4.2,0.0,0,1,264.0,4,12,1,0
2022-12-23,5686,-3.3,0.4,0,1,298.0,5,12,1,0
2022-12-24,18973,2.2,1.2,1,1,484.0,6,12,1,1
2022-12-25,24865,11.2,2.0,1,1,510.0,7,12,1,1
2022-12-26,15246,11.1,0.0,1,1,462.0,1,12,1,0
2022-12-27,8861,1.8,1.2,0,1,353.0,2,12,1,0
2022-12-28,7025,5.0,0.0,0,1,260.0,3,12,1,0
2022-12-29,8647,6.7,0.0,0,1,344.0,4,12,1,0
2022-12-30,7408,1.5,1.1,0,1,285.0,5,12,1,0
2022-12-31,8967,7.7,5.3,0,1,499.0,6,12,1,1
2023-01-01,24789,12.3,0.0,1,1,549.0,7,1,1,1
2023-01-02,10041,16.0,0.0,0,1,331.0,1,1,1,0
2023-01-03,6019,-1.5,0.0,0,1,295.0,2,1,1,0
2023-01-04,9075,5.2,0.0,0,1,359.0,3,1,1,0
2023-01-05,7326,3.3,0.0,0,1,352.0,4,1,1,0
2023-01-06,5756,-3.0,0.0,0,1,299.0,5,1,1,0
2023-01-07,8415,-4.2,0.0,0,1,481.0,6,1,1,1
2023-01-08,8307,-2.2,0.6,0,1,525.0,7,1,1,1
2023-01-09,4339,-1.7,0.0,0,1,282.0,1,1,1,0
2023-01-10,7545,5.1,0.0,0,1,254.0,2,1,1,0
2023-01-11,9049,1.1,4.2,0,1,331.0,3,1,1,0
2023-01-12,7754,5.1,0.0,0,1,338.0,4,1,1,0
2023-01-13,7419,4.0,0.6,0,1,275.0,5,1,1,0
2023-01-14,8244,-8.3,0.4,0,1,459.0,6,1,1,1
2023-01-15,15565,2.6,0.0,0,1,553.0,7,1,1,1
2023-01-16,7505,1.8,0.0,0,1,333.0,1,1,1,0
2023-01-17,7334,0.4,0.0,0,1,256.0,2,1,1,0
2023-01-18,6805,0.4,0.0,0,1,339.0,3,1,1,0
2023-01-19,5039,-3.8,0.0,0,1,358.0,4,1,1,0
2023-01-20,4585,-0.5,0.0,0,1,290.0,5,1,1,0
2023-01-21,12882,3.8,0.0,0,1,511.0,6,1,1,1
2023-01-22,16438,2.5,0.0,0,1,580.0,7,1,1,1
2023-01-23,8295,3.5,2.2,0,1,269.0,1,1,1,0
2023-01-24,8703,6.1,0.0,0,1,308.0,2,1,1,0
2023-01-25,4855,-2.4,0.0,0,1,327.0,3,1,1,0
2023-01-26,4765,-0.9,0.0,0,1,315.0,4,1,1,0
2023-01-27,6410,-5.9,0.0,0,1,306.0,5,1,1,0
2023-01-28,12708,2.2,3.8,0,1,487.0,6,1,1,1
2023-01-29,8831,-2.0,1.6,0,1,538.0,7,1,1,1
2023-01-30,6034,-0.3,0.0,0,1,247.0,1,1,1,0
2023-01-31,6855,5.3,0.0,0,1,244.0,2,1,1,0
2023-02-01,5744,8.4,0.0,0,0,248.0,3,2,1,0
2023-02-02,5216,7.4,0.0,0,0,312.0,4,2,1,0
2023-02-03,6511,0.6,0.0,0,0,347.0,5,2,1,0
2023-02-04,9890,7.4,4.3,0,0,599.0,6,2,1,1
2023-02-05,7906,-0.5,0.0,0,0,526.0,7,2,1,1
2023-02-06,6891,4.2,0.0,0,0,282.0,1,2,1,0
2023-02-07,4105,-0.4,0.0,0,0,345.0,2,2,1,0
2023-02-08,5164,0.5,0.0,0,0,280.0,3,2,1,0
2023-02-09,5271,6.3,0.0,0,0,311.0,4,2,1,0
2023-02-10,3677,-3.9,0.8,0,0,285.0,5,2,1,0
